     ID  RA         DEC    z    f24[mJy]f8[uJy] R[Vega] epoch galid
   22651 259.8605  59.1583 1.730 1.070   99.00 25.50 go1  35
   22661 259.5820  59.0452 1.800 0.920   76.00 24.00 go1  48
   22663 260.8361  59.0620 0.400 0.960  257.17 23.15 go2 145
   22690 259.9541  58.9028 2.070 1.010  162.48 25.50 go2 146
   22699 260.1979  59.1375 2.590 0.940  105.00 25.50 go1  27
   22710 260.8688  58.8737 2.510 0.990  234.79 24.25 go2 147
   22722 259.6889  58.8564 1.710 0.930   84.72 23.33 go2 148
   22725 0  0 0 0  0 0 0    0
   22744 260.8882  59.1085 0.489 0.860  164.44 22.31 go2 150
12506368 260.5428  58.7714 1.160 2.310  850.41 23.64 extra   1
12506624	45.26	5.69	2.05 *82.57	9.59	170.06	23.56	299.24	33.83  0.897 0.044 1.080 0.100	
12506880	0.01	100.0	*0.01	100.0	0.01	100.0	0.01	100.0  0.01  100.0 0.01	100.0	
12507648 257.9623  58.8511 1.940 1.030  378.45 24.23 extra   4
12508160	0.01	100.0	*0.01	100.0	0.01	100.0	0.01	100.0  0.01  100.0 0.01	100.0	
12508672 258.0212  59.2524 2.350 1.220  364.44 25.50 extra   6
12508928 258.6685  58.6848 1.980 1.150   75.70 23.60 extra   7
12509184	0.01	100.0	*0.01	100.0	0.01	100.0	0.01	100.0  0.01  100.0 0.01	100.0	
12509696 260.2000  59.7224 2.210 1.530  287.02 25.50 extra   9
14016000	522.71	52.73	0.80 *818.99	82.79	1129.73	117.13	1799.70	182.12  0.01  100.0 0.01	100.0	
14016256 258.3507  58.9303 0.610 4.940 1325.42 20.69 extra  20
14016512	163.65	16.59	0.70 *258.46	26.86	507.89	52.19	1241.06	125.89  0.01  100.0 0.01	100.0	
14134528 260.1952  59.3732 0.539 1.250  222.31 20.58 extra  10
14134784 260.3239  58.8555 0.512 1.650  253.89 20.01 extra  11
14135040 260.3263  58.7671 0.555 1.680  344.96 20.21 extra  12
14135808 258.8572  60.0733 0.501 1.130  249.39 20.64 extra  13
15486976 260.368622  60.339111 1.400 1.180  217.22 21.38 extra  14
17644032 260.2105  59.2534 0.433 6.210 3705.08 20.33 extra  15
17644288 258.3813  58.9679 1.44 5.900  875.28 20.34 extra  16
19454720 260.1931  60.0417 1.750 0.940   17.40 22.82 extra  17
19456000 258.6236  59.5427 1.979 0.840    0.01 22.37 extra  18
	
